0	"Excelente Pizza"
0	"Excelente servicio al cliente"
1	"Suelos sucios"
1	"Muy caro"
0	"Los aderezos son buenos"
1	"El parqueo es terrible"
0	"Los baños están limpios"
1	"La administración no es útil"
0	"La iluminación y el ambiente son románticos"
1	"La pizza estaba un poco quemada"
0	"La piña estaba fresca"
1	"La falta de ajo es molesta"
0	"Buena experiencia, volvería"
0	"Personal amable"
1	"Servicio al cliente grosero"
1	"Los camareros nunca volvieron"
1	"¡No podía creer que las servilletas costaran $ 10!"
0	"La pizza de gran tamaño es excelente"
0	"La oferta de $ 5 todo lo que pueda comer es buena"
1	"Demasiado caro y me sorprendió que los utensilios fueran un recargo"